,MEASUREMENT_TIME,ID_INPUT,VALUE,PRIVATE_DATA,Time_Used
1203,2023-01-24 18:20:26.851,4,chrome.exe,0,86.666
1204,2023-01-24 18:21:53.517,4,Zoom.exe,0,159.358
1205,2023-01-24 18:24:32.875,4,chrome.exe,0,19.162
1206,2023-01-24 18:24:52.037,4,Zoom.exe,0,279.518
1207,2023-01-24 18:29:31.555,4,chrome.exe,0,11.123
1208,2023-01-24 18:29:42.678,4,explorer.exe,0,1.014
1209,2023-01-24 18:29:43.692,4,Zoom.exe,0,44.302
1210,2023-01-24 18:30:27.994,4,chrome.exe,0,431.788
1211,2023-01-24 18:37:39.782,4,cmd.exe,0,31.239
1212,2023-01-24 18:38:11.021,4,chrome.exe,0,10.095
1213,2023-01-24 18:38:21.116,4,cmd.exe,0,38.313
1214,2023-01-24 18:38:59.429,4,chrome.exe,0,18.155
1215,2023-01-24 18:39:17.584,4,Zoom.exe,0,302.532
1216,2023-01-24 18:44:20.116,4,chrome.exe,0,6.044
1217,2023-01-24 18:44:26.160,4,Zoom.exe,0,50.414
1218,2023-01-24 18:45:16.574,4,chrome.exe,0,97.905
1219,2023-01-24 18:46:54.479,4,Zoom.exe,0,143.269
1220,2023-01-24 18:49:17.748,4,chrome.exe,0,13.089
1221,2023-01-24 18:49:30.837,4,Zoom.exe,0,26.179
1222,2023-01-24 18:49:57.016,4,chrome.exe,0,32.252
1223,2023-01-24 18:50:29.268,4,Zoom.exe,0,4.045
1224,2023-01-24 18:50:33.313,4,chrome.exe,0,41.365
1225,2023-01-24 18:51:14.678,4,Zoom.exe,0,2.022
1226,2023-01-24 18:51:16.700,4,Zoom.exe,0,433.596
1227,2023-01-24 18:58:30.296,4,Zoom.exe,0,2.121
1228,2023-01-24 18:58:32.417,4,chrome.exe,0,17.118
1229,2023-01-24 18:58:49.535,4,Zoom.exe,0,1.012
1230,2023-01-24 18:58:50.547,4,Zoom.exe,0,61.458
1231,2023-01-24 18:59:52.005,4,chrome.exe,0,14.121
1232,2023-01-24 19:00:06.126,4,Zoom.exe,0,21.302
1233,2023-01-24 19:00:27.428,4,chrome.exe,0,194.52
1234,2023-01-24 19:03:41.948,4,Zoom.exe,0,17.124
1235,2023-01-24 19:03:59.072,4,chrome.exe,0,14.119
1236,2023-01-24 19:04:13.191,4,explorer.exe,0,1.008
1237,2023-01-24 19:04:14.199,4,Zoom.exe,0,4.017
1238,2023-01-24 19:04:18.216,4,Zoom.exe,0,1.01
1239,2023-01-24 19:04:19.226,4,chrome.exe,0,1.004
1240,2023-01-24 19:04:20.230,4,Teams.exe,0,368.72
1241,2023-01-24 19:10:28.950,4,explorer.exe,0,1.01
1242,2023-01-24 19:10:29.960,4,chrome.exe,0,1.011
1243,2023-01-24 19:10:30.971,4,explorer.exe,0,3.017
1244,2023-01-24 19:10:33.988,4,chrome.exe,0,52.393
1245,2023-01-24 19:11:26.381,4,Teams.exe,0,276.203
1246,2023-01-24 19:16:02.584,4,chrome.exe,0,134.084
1247,2023-01-24 19:18:16.668,4,Teams.exe,0,1462.57
1248,2023-01-24 19:42:39.238,4,chrome.exe,0,888.89
1249,2023-01-24 19:57:28.128,4,Teams.exe,0,2.012
1250,2023-01-24 19:57:30.140,4,cmd.exe,0,21.166
1251,2023-01-24 19:57:51.306,4,explorer.exe,0,2.015
1252,2023-01-24 19:57:53.321,4,SearchHost.exe,0,6.032
1253,2023-01-24 19:57:59.353,4,explorer.exe,0,1.005
1254,2023-01-24 19:58:00.358,4,SearchHost.exe,0,3.136
1255,2023-01-24 19:58:03.494,4,ApplicationFrameHost.exe,0,1351.548
1256,2023-01-24 20:20:35.042,4,explorer.exe,0,1.006
1257,2023-01-24 20:20:36.048,4,SearchHost.exe,0,4.018
1258,2023-01-24 20:20:40.066,4,explorer.exe,0,1.008
1259,2023-01-24 20:20:41.074,4,msedge.exe,0,945.83
1260,2023-01-24 20:36:26.904,4,Teams.exe,0,7.074
1261,2023-01-24 20:36:33.978,4,msedge.exe,0,1425.472
1262,2023-01-24 21:00:19.450,4,explorer.exe,0,3.019
1263,2023-01-24 21:00:22.469,4,chrome.exe,0,19982.078
1264,2023-01-25 02:33:24.547,4,LockApp.exe,0,7.162
1265,2023-01-25 02:33:31.709,4,chrome.exe,0,4.039
1266,2023-01-25 02:33:35.748,4,VsDebugConsole.exe,0,0.0
1267,2023-01-25 21:25:35.256,4,s0,0,0.0
1268,2023-01-25 21:25:35.256,4,VsDebugConsole.exe,0,3.015
1269,2023-01-25 21:25:38.271,4,devenv.exe,0,1.002
1270,2023-01-25 21:25:39.273,4,explorer.exe,0,42.245
1271,2023-01-25 21:26:21.518,4,VsDebugConsole.exe,0,0.0
1272,2023-01-25 21:27:17.543,4,s0,0,0.0
1273,2023-01-25 21:27:17.543,4,VsDebugConsole.exe,0,1.007
1274,2023-01-25 21:27:18.550,4,devenv.exe,0,1.006
1275,2023-01-25 21:27:19.556,4,explorer.exe,0,39.273
1276,2023-01-25 21:27:58.829,4,Messenger.exe,0,315.681
1277,2023-01-25 21:33:14.510,4,chrome.exe,0,51.37
1278,2023-01-25 21:34:05.880,4,Messenger.exe,0,358.071
1279,2023-01-25 21:40:03.951,4,chrome.exe,0,2.016
1280,2023-01-25 21:40:05.967,4,Messenger.exe,0,2.016
1281,2023-01-25 21:40:07.983,4,explorer.exe,0,4.023
1282,2023-01-25 21:40:12.006,4,cmd.exe,0,10.051
1283,2023-01-25 21:40:22.057,4,chrome.exe,0,28.208
1284,2023-01-25 21:40:50.265,4,cmd.exe,0,6.048
1285,2023-01-25 21:40:56.313,4,chrome.exe,0,5.023
1286,2023-01-25 21:41:01.336,4,cmd.exe,0,8.055
1287,2023-01-25 21:41:09.391,4,chrome.exe,0,2153.765
